"","annotation"
"Rassf5","others"
"Adipor1","others"
"Sell","others"
"Soat1","others"
"Nuf2","cell cycle"
"Rabgap1l","others"
"Vim","others"
"Il2ra","others"
"Yme1l1","others"
"Cytip","others"
"Hspa5","others"
"Ndufa8","others"
"Psmd14","others"
"Psd4","others"
"Ly75","others"
"Dync1i2","others"
"Itgav","others"
"Eif3m","others"
"Cops2","others"
"Cd82","others"
"Pdia3","others"
"Smox","others"
"Cst3","others"
"Mapre1","cell cycle"
"Tpd52","others"
"Ptpn1","others"
"Psma7","others"
"Rbm39","others"
"Samhd1","others"
"Ncoa3","cell cycle"
"Ccna2","cell cycle"
"Mbnl1","others"
"Ssr3","others"
"Pdcd10","others"
"Nras","others"
"Cd2","others"
"Sec22b","others"
"Tpm3","others"
"4933434E20Rik","others"
"Lef1","others"
"Casp6","others"
"Aimp1","others"
"Rps3a1","ribonucleoprotein"
"Fbxw7","others"
"Ecm1","others"
"Rap1gds1","others"
"Nfkb1","cell cycle"
"Zranb2","others"
"Rps20","ribonucleoprotein"
"Gbp2","others"
"Txn1","others"
"B4galt1","cell cycle"
"Chmp5","others"
"Tln1","others"
"Glipr2","others"
"Mier1","others"
"Pde4b","others"
"Jak1","others"
"Laptm5","others"
"Tnfrsf8","others"
"Tmem59","others"
"Slc2a1","others"
"Cap1","others"
"Fuca1","others"
"Prdx1","others"
"Akr1a1","others"
"Capzb","others"
"Ddost","others"
"Hp1bp3","cell cycle"
"Ptp4a2","others"
"Ak2","others"
"Tmem234","others"
"Eif3i","others"
"Srrm1","others"
"Syf2","others"
"Tmem50a","others"
"Psmb2","others"
"Espn","others"
"Park7","others"
"Tnfrsf9","others"
"Mll5","others"
"Ssu72","others"
"Rer1","others"
"Gnb1","others"
"Tnfrsf4","others"
"Sdf4","others"
"Fosl2","others"
"Grpel1","cell cycle"
"Commd8","others"
"Rest","others"
"Tgfbr3","others"
"Ran","cell cycle"
"Cct6a","others"
"Vps29","others"
"Tes","others"
"Actb","ribonucleoprotein"
"Rpl6","ribonucleoprotein"
"Arpc1b","others"
"Ndufa4","others"
"Polr1d","others"
"Pomp","others"
"Zc3hav1","others"
"Cct7","others"
"Cnbp","others"
"Sec61a1","others"
"Bhlhe40","others"
"Mlf2","others"
"Kdm5a","others"
"Etv6","others"
"Arhgdib","others"
"Aebp2","others"
"Iqgap1","ribonucleoprotein"
"Psmd8","others"
"Ndufc2","others"
"Aldoa","others"
"Coro1a","others"
"Eif3c","others"
"Rps3","ribonucleoprotein"
"Il4ra","others"
"Nucb1","others"
"Lamtor1","others"
"Uqcrc2","others"
"Mki67","cell cycle"
"Ndufb11","others"
"Glrx3","others"
"Sash3","others"
"Ebp","others"
"Msn","others"
"Igbp1","others"
"Acsl4","others"
"Il2rg","others"
"Nono","others"
"Rps4x","ribonucleoprotein"
"Gpm6b","others"
"Morf4l2","others"
"Eif4ebp1","others"
"Sin3b","others"
"Slc25a4","others"
"Tecr","others"
"Mt2","others"
"Mt1","others"
"Polr2c","others"
"Tpm4","others"
"Jak3","others"
"Map1lc3b","others"
"Cox4i1","others"
"Mphosph6","others"
"Lsm4","ribonucleoprotein"
"Folr4","others"
"Kars","others"
"Birc3","others"
"Sesn3","others"
"Usp2","cell cycle"
"Sc5d","others"
"Ets1","others"
"Cd3d","others"
"Trappc4","others"
"Stt3a","others"
"Ccnb2","cell cycle"
"Anxa2","others"
"Pkm","others"
"Psma4","others"
"Nptn","others"
"Fam96a","others"
"Csnk1g1","others"
"Rpl4","ribonucleoprotein"
"Stt3b","others"
"Slc25a36","others"
"Rpsa","ribonucleoprotein"
"Nktr","others"
"Cish","others"
"Hemk1","others"
"Rbm5","others"
"2810474O19Rik","others"
"Pebp1","others"
"Fkbp1a","others"
"Rac2","others"
"Lpp","cell cycle"
"Mif","others"
"Gstt2","others"
"Atp6v0b","others"
"Fndc3a","others"
"Ucp2","others"
"Chmp2a","others"
"Ndufb7","others"
"Cct2","others"
"Hdlbp","others"
"Lrrc58","others"
"Ccnd3","cell cycle"
"Batf","others"
"Wbp2","others"
"Myl12b","others"
"Ncaph","cell cycle"
"Eef2","ribonucleoprotein"
"Egln3","others"
"Spcs2","others"
"Cops4","others"
"Skp1a","others"
"Srp72","others"
"Serbp1","others"
"Gpi1","others"
"Elf1","others"
"Btg1","others"
"Rab8b","others"
"Hk1","others"
"Paip2","others"
"Mgarp","others"
"Arid5a","others"
"Cd81","others"
"Eef1a1","others"
"Tgm2","cell cycle"
"Sbno1","others"
"Camk4","others"
"Edem2","others"
"Rbm8a","others"
"Higd1a","others"
"Uqcrfs1","others"
"Jarid2","others"
"Ranbp9","others"
"Rnh1","others"
"Wdr26","others"
"Prc1","cell cycle"
"Atp6v1g1","others"
"Fam102a","others"
"Rpl22l1","ribonucleoprotein"
"Gimap3","others"
"Sec24c","others"
"Hnrnpu","ribonucleoprotein"
"Ypel5","others"
"Ythdf2","others"
"Bub1b","cell cycle"
"Fgfr1op2","others"
"Cdk6","cell cycle"
"Ppp1ca","cell cycle"
"Zbtb38","others"
"Cd53","others"
"Tiprl","others"
"Sft2d2","others"
"Rps19","ribonucleoprotein"
"Sh3kbp1","others"
"Ghitm","others"
"Ostc","others"
"Chd7","others"
"Ssr2","others"
"Wapal","cell cycle"
"Ccnb1","cell cycle"
"Gltscr2","others"
"Ddx24","others"
"Cox6a1","others"
"Tspo","others"
"Poldip3","others"
"Tnfrsf18","others"
"S100a10","others"
"Hnrnpf","ribonucleoprotein"
"Kdm5b","cell cycle"
"Clspn","cell cycle"
"Ypel3","others"
"Selk","others"
"Krtcap2","others"
"Hilpda","others"
"Gimap5","others"
"Rpl7","ribonucleoprotein"
"Gimap7","others"
"S100a1","others"
"Foxo1","others"
"Ctla2a","others"
"ENSMUSG00000044285","others"
"ENSMUSG00000044867","others"
"Uqcrq","others"
"Rpl18a","ribonucleoprotein"
"Cenpe","cell cycle"
"Basp1","others"
"Hnrnpa1","ribonucleoprotein"
"ENSMUSG00000046721","others"
"Gimap6","others"
"Arf1","others"
"Mll2","others"
"Selplg","others"
"Cdca2","cell cycle"
"Themis","others"
"Tmsb4x","others"
"Ftl1","others"
"Commd3","others"
"Klf13","others"
"Gnpda1","others"
"Rps10","ribonucleoprotein"
"Immt","others"
"Suclg1","others"
"Gas5","others"
"Tg","others"
"Nrd1","others"
"Chchd3","others"
"Camk2d","others"
"Ech1","others"
"Dnajc8","others"
"Spcs3","others"
"Gimap4","others"
"1600014C10Rik","others"
"Set","others"
"Whsc1l1","others"
"Mrfap1","others"
"Srsf11","others"
"Cd47","others"
"Kxd1","others"
"Kbtbd11","others"
"Cope","others"
"Ubl7","others"
"Eef1d","others"
"Rnf181","others"
"Cfl1","others"
"R3hdm1","others"
"Tgoln1","others"
"Prelid2","others"
"Capg","others"
"Pcbp2","ribonucleoprotein"
"Jmjd6","others"
"Skap1","others"
"Ebf1","others"
"Npm1","ribonucleoprotein"
"Bcl2","others"
"Cep170","others"
"Mrpl18","ribonucleoprotein"
"Rpl32","ribonucleoprotein"
"ENSMUSG00000058126","others"
"Mrps14","ribonucleoprotein"
"Gm5506","others"
"Rpl18","ribonucleoprotein"
"ENSMUSG00000059195","others"
"Sep-09","others"
"Uqcr10","others"
"Fdps","others"
"Psma3","others"
"Rpl41","others"
"Hnrnpc","ribonucleoprotein"
"H2-Q7","others"
"B2m","others"
"Gstp1","others"
"AI597468","others"
"Copz1","others"
"Rrp1","others"
"Fam195b","others"
"Prpf40a","others"
"H2-K1","others"
"Naca","others"
"Rps7","ribonucleoprotein"
"Rps17","ribonucleoprotein"
"Slc25a3","others"
"Rpl34","others"
"Pgk1","others"
"ENSMUSG00000062353","others"
"Vps28","others"
"ENSMUSG00000062456","others"
"Lilrb4","others"
"Rpl7a","ribonucleoprotein"
"Actg1","others"
"Impdh2","others"
"Mrpl42","ribonucleoprotein"
"Ccni","others"
"Ldha","others"
"Rps15","ribonucleoprotein"
"Nhp2l1","others"
"Eno1","others"
"ENSMUSG00000063696","others"
"Chchd1","others"
"Gpx1","others"
"Crem","others"
"ENSMUSG00000064193","others"
"Ifi27l1","others"
"Akap13","others"
"Eif1ax","others"
"H2-T23","others"
"ENSMUSG00000067224","others"
"H2-Q10","others"
"Rplp0","ribonucleoprotein"
"Tcp1","others"
"Cst7","others"
"Lgals1","others"
"Il2rb","others"
"Sars","others"
"Psma5","others"
"Csde1","others"
"Eif2s3y","others"
"Psmb3","others"
"Eif3g","others"
"Capza1","others"
"Runx3","others"
"Klhl9","cell cycle"
"Ptges3","others"
"Rpl23","ribonucleoprotein"
"Pcnp","cell cycle"
"Eef1g","others"
"ENSMUSG00000073403","others"
"H2-Q6","others"
"H2-D1","others"
"H2-Ab1","others"
"Rpl13a","ribonucleoprotein"
"1500012F01Rik","others"
"AW112010","others"
"Fnbp1","others"
"Ly6a","others"
"ENSMUSG00000076498","others"
"ENSMUSG00000076928","others"
"ENSMUSG00000078240","others"
"Sf3b5","others"
"Bnip3","others"
"Ube2d3","others"
"Eif5a","others"
"Igtp","others"
"Ifi27l2a","others"
"Ly6c1","others"
"Psme2","others"
"Tceb1","others"
"ENSMUSG00000081051","others"
"ENSMUSG00000081434","others"
"ENSMUSG00000082062","others"
"ENSMUSG00000083773","others"
"ENSMUSG00000084349","others"
"ENSMUSG00000086583","others"
"2410006H16Rik","others"
"Gp49a","others"
"Gimap1","others"
"ENSMUSG00000091449","others"
"ENSMUSG00000091747","others"
"ENSMUSG00000091831","others"
"Rps2","ribonucleoprotein"
"Malat1","others"
"Cdkn2d","cell cycle"
"Psmb9","others"
"ENSMUSG00000097906","others"
